    time          tnp
1994.790405273438  -0.26029253
1994.793090820312  -0.53633451
1994.795898437500  -0.77341384
1994.798583984375  -0.96731645
1994.801391601562  -1.06318581
1994.804077148438  -1.25253618
1994.806762695312  -1.30467570
1994.809570312500  -1.00660527
1994.812255859375  -0.69686610
1994.815063476562  -0.54714590
1994.817749023438  -0.57340473
1994.820556640625  -0.43362263
1994.823242187500  -0.31367317
1994.826049804688  -0.65882730
1994.828735351562  -1.18774569
1994.831420898438  -1.74971175
1994.834228515625  -2.12590694
1994.836914062500  -2.41576385
1994.839721679688  -2.20108867
1994.842407226562  -2.72240734
1994.845214843750  -2.88614321
1994.847900390625  -3.03884006
1994.850708007812  -0.30082810
1994.853393554688  -3.19186759
1994.856079101562  -2.94742131
1994.858886718750  -2.16307402
1994.861572265625  -1.26227856
1994.864379882812   0.55578554
1994.867065429688   2.29384112
1994.869873046875   3.40911055
1994.872558593750   4.10201120
1994.875366210938   4.43003988
1994.878051757812   4.11598349
1994.880737304688   4.18684340
1994.883544921875   4.85821533
1994.886230468750   5.37515593
1994.889038085938   5.15510702
1994.891723632812   4.55867672
1994.894531250000   3.68409681
1994.897216796875   2.56862521
1994.900024414062   0.99254018
1994.902709960938   0.02972219
1994.905395507812  -0.75094223
1994.908203125000  -1.23526287
1994.910888671875  -2.16182542
1994.913696289062  -3.19949341
1994.916381835938  -4.83037043
1994.919189453125  -5.97063684
1994.921875000000  -6.14271879
1994.924682617188  -5.51278830
1994.927368164062  -5.19890690
1994.930053710938  -4.87474585
1994.932861328125  -4.52038670
1994.935546875000  -4.86909008
1994.938354492188  -5.78114128
1994.941040039062  -7.27409267
1994.943847656250  -8.73028374
1994.946533203125  -9.34003353
1994.949340820312  -9.28708363
1994.952026367188  -9.62178421
1994.954711914062  -9.85173035
1994.957519531250  -9.99477577
1994.960205078125 -10.26544857
1994.963012695312 -10.28314018
1994.965698242188 -10.20889854
1994.968505859375  -9.61117649
1994.971191406250  -9.12258530
1994.973999023438  -8.51259422
1994.976684570312  -8.42727470
1994.979370117188  -7.69477463
1994.982177734375  -6.32401466
1994.984863281250  -5.25286102
1994.987670898438  -5.40845108
1994.990356445312  -5.28126001
1994.993164062500  -6.31341791
1994.995849609375  -6.30733681
1994.998657226562  -4.19618607
1995.001342773438  -0.25844026
1995.004028320312  -0.71843636
1995.006835937500  -0.26702583
1995.009521484375  -1.00972223
1995.012329101562  -4.52086115
1995.015014648438  -5.95584869
1995.017822265625  -7.48899460
1995.020507812500  -6.81871891
1995.023315429688  -6.59584427
1995.026000976562  -7.26821184
1995.028686523438  -8.99150848
1995.031494140625  -8.76051235
1995.034179687500  -8.36012745
1995.036987304688  -7.11587286
1995.039672851562  -6.83626080
1995.042480468750  -5.51674461
1995.045166015625  -4.13872480
1995.047973632812  -4.07874060
1995.050659179688  -2.57196259
1995.053344726562   0.97123301
1995.056152343750   4.22056150
1995.058837890625   5.92721939
1995.061645507812   8.63510323
1995.064331054688  11.43493843
1995.067138671875  12.22203064
1995.069824218750  10.76402283
1995.072631835938  10.56904984
1995.075317382812  12.35975075
1995.078002929688  13.86672783
1995.080810546875  15.75378799
1995.083496093750  18.89907455
1995.086303710938  21.17241669
1995.088989257812  22.15943718
1995.091796875000  21.06822205
1995.094482421875  18.80875969
1995.097290039062  17.58883858
1995.099975585938  16.28473663
1995.102661132812  14.06698799
1995.105468750000  11.59443569
1995.108154296875  12.03979683
1995.110961914062  16.18690109
1995.113647460938  14.76882362
1995.116455078125  11.29288006
1995.119140625000   8.03337479
1995.121948242188   4.27718067
1995.124633789062   1.06553602
1995.127319335938  -0.52393359
1995.130126953125  -1.24329448
1995.132812500000  -2.04017401
1995.135620117188  -2.43349195
1995.138305664062  -2.52242780
1995.141113281250  -2.09019542
1995.143798828125  -2.35357118
1995.146606445312  -3.68838429
1995.149291992188  -5.18063021
1995.151977539062  -5.81960011
1995.154785156250  -7.31470919
1995.157470703125  -7.06999636
1995.160278320312  -7.69067097
1995.162963867188 -13.82793617
1995.165771484375  -9.34205341
1995.168457031250  -9.89372349
1995.171264648438  -9.84623814
1995.173950195312  -9.13037586
1995.176635742188  -8.23025322
1995.179443359375  -7.34335375
1995.182128906250  -7.41354990
1995.184936523438  -7.67944765
1995.187622070312  -8.15776730
1995.190429687500  -8.91511154
1995.193115234375 -10.64562702
1995.195922851562 -11.47278023
1995.198608398438 -11.42966938
1995.201293945312  -9.66303253
1995.204101562500  -7.43949270
1995.206787109375  -5.80082798
1995.209594726562  -5.13245487
1995.212280273438  -4.13190317
1995.215087890625  -2.06494641
1995.217773437500   0.88909966
1995.220581054688   4.43083763
1995.223266601562   7.35318422
1995.225952148438   8.13713551
1995.228759765625   7.12791538
1995.231445312500   5.55116558
1995.234252929688   3.06292820
1995.236938476562   1.83054864
1995.239746093750   1.83259916
1995.242431640625   1.72155559
1995.245239257812   1.19771850
1995.247924804688   0.65977496
1995.250610351562   0.17896403
1995.253417968750  -0.07358903
1995.256103515625  -0.44599009
1995.258911132812   0.32787558
1995.261596679688   2.58261180
1995.264404296875   5.10298729
1995.267089843750   6.05997086
1995.269775390625   5.86340380
1995.272583007812   4.82999134
1995.275268554688   4.85835791
1995.278076171875   4.90762472
1995.280761718750   4.29481077
1995.283569335938   3.12108779
1995.286254882812   2.80722380
1995.289062500000   2.36672449
1995.291748046875   1.78430903
1995.294433593750   1.34799218
1995.297241210938   1.01337039
1995.299926757812   1.07717180
1995.302734375000   1.18745482
1995.305419921875   0.79416591
1995.308227539062   1.55621421
1995.310913085938   1.60877275
1995.313720703125   1.41426635
1995.316406250000   1.17254114
1995.319091796875   0.76944464
1995.321899414062   0.48129034
1995.324584960938   0.41039997
1995.327392578125   0.34527847
1995.330078125000   0.23365113
1995.332885742188   0.22000372
1995.335571289062   0.25075996
1995.338378906250   0.30506805
1995.341064453125   0.39714953
1995.343750000000   0.48249513
1995.346557617188   0.52161050
1995.349243164062   0.49396116
1995.352050781250   0.51963174
1995.354736328125   0.53677821
1995.357543945312   0.49420804
1995.360229492188   0.45282185
1995.363037109375   0.35481974
1995.365722656250   0.20454520
1995.368408203125   0.14183997
1995.371215820312   0.22879057
1995.373901367188   0.28765589
1995.376708984375   0.26660964
1995.379394531250   0.20882487
1995.382202148438   0.00801593
1995.384887695312  -0.06494845
1995.387695312500  -0.04877167
1995.390380859375   0.00759114
1995.393066406250  -0.05845784
1995.395874023438  -0.21871336
1995.398559570312  -0.24965413
1995.401367187500  -0.28123447
1995.404052734375  -0.31896058
1995.406860351562  -0.26911995
1995.409545898438  -0.25905108
1995.412353515625  -0.28952831
1995.415039062500  -0.26117274
1995.417724609375  -0.26404327
1995.420532226562  -0.32490253
1995.423217773438  -0.39557263
1995.426025390625  -0.53035754
1995.428710937500  -0.58387971
1995.431518554688  -0.60856074
1995.434204101562  -0.53284621
1995.437011718750  -0.39021978
1995.439697265625  -0.23888268
1995.442382812500  -0.15805753
1995.445190429688  -0.06949658
1995.447875976562   0.08857133
1995.450683593750   0.19635336
1995.453369140625   0.34880704
1995.456176757812   0.35927168
1995.458862304688   0.39728779
1995.461669921875   0.30861574
1995.464355468750   0.25722474
1995.467041015625   0.38732064
1995.469848632812   0.38025168
1995.472534179688   0.54008019
1995.475341796875   0.59519225
1995.478027343750   0.61756456
1995.480834960938   0.71886104
1995.483520507812   0.73543686
1995.486328125000   0.66571420
1995.489013671875   0.50295508
1995.491699218750   0.33132899
1995.494506835938   0.30225417
1995.497192382812   0.29525697
1995.500000000000   0.22369780
1995.502685546875   0.14630035
1995.505493164062   0.10255527
1995.508178710938   0.09293254
1995.510986328125   0.10310281
1995.513671875000   0.03444336
1995.516357421875   0.01899721
1995.519165039062  -0.01600259
1995.521850585938  -0.02824222
1995.524658203125  -0.07399944
1995.527343750000  -0.11536015
1995.530151367188  -0.22365554
1995.532836914062  -0.21882986
1995.535644531250  -0.28283188
1995.538330078125  -0.34873593
1995.541015625000  -0.40396902
1995.543823242188  -0.36620378
1995.546508789062  -0.35667962
1995.549316406250  -0.38330105
1995.552001953125  -0.58566779
1995.554809570312  -0.71220642
1995.557495117188  -0.74437612
1995.560302734375  -0.59673065
1995.562988281250  -0.49193808
1995.565673828125  -0.46814331
1995.568481445312  -0.31387582
1995.571166992188  -0.15528813
1995.573974609375  -0.01027331
1995.576660156250   0.04584675
1995.579467773438   0.07647590
1995.582153320312   0.05106406
1995.584960937500   0.02479057
1995.587646484375   0.11065791
1995.590332031250   0.22953586
1995.593139648438   0.23703922
1995.595825195312   0.23649195
1995.598632812500   0.28527245
1995.601318359375   0.39074478
1995.604125976562   0.50870526
1995.606811523438   0.44531247
1995.609619140625   0.41068497
1995.612304687500   0.42506644
1995.614990234375   0.51989931
1995.617797851562   1.04963589
1995.620483398438   0.39196065
1995.623291015625   0.28596860
1995.625976562500   0.20717041
1995.628784179688   0.18155481
1995.631469726562   0.20734422
1995.634277343750   0.15681875
1995.636962890625   0.11769193
1995.639648437500   0.13416961
1995.642456054688   0.14647521
1995.645141601562   0.15377136
1995.647949218750   0.16310054
1995.650634765625   0.11671778
1995.653442382812   0.10285794
1995.656127929688   0.06594896
1995.658935546875   0.07103763
1995.661621093750   0.09802530
1995.664306640625   0.12539634
1995.667114257812   0.24827845
1995.669799804688   0.23184863
1995.672607421875   0.27094132
1995.675292968750   0.45794645
1995.678100585938   0.63653904
1995.680786132812   0.61473435
1995.683593750000   0.49444863
1995.686279296875   0.44243318
1995.688964843750   0.46888849
1995.691772460938   0.65613538
1995.694458007812   0.68187231
1995.697265625000   0.63480639
1995.699951171875   0.55492222
1995.702758789062   0.38040110
1995.705444335938   0.33430719
1995.708251953125   0.31695604
1995.710937500000   0.23500597
1995.713623046875   0.06358048
1995.716430664062   0.11653371
1995.719116210938   0.20715719
1995.721923828125   0.14363042
1995.724609375000  -0.11351966
1995.727416992188  -0.26095960
1995.730102539062  -0.48781449
1995.732910156250  -0.33692154
1995.735595703125  -0.20065540
1995.738281250000  -0.18364146
1995.741088867188  -0.39028728
1995.743774414062  -0.59124810
1995.746582031250  -0.63705319
1995.749267578125  -0.74481231
1995.752075195312  -1.04798412
1995.754760742188  -1.26947129
1995.757446289062  -1.42926419
1995.760253906250  -0.87913764
1995.762939453125  -1.55910790
1995.765747070312  -1.45169425
1995.768432617188  -1.25950909
1995.771240234375  -1.22502625
1995.773925781250  -0.84741157
1995.776733398438  -0.42877337
1995.779418945312  -0.17616418
1995.782104492188  -0.05192026
1995.784912109375   0.12260512
1995.787597656250   0.30218256
1995.790405273438   0.28997701
1995.793090820312   0.16809182
1995.795898437500   0.27010795
1995.798583984375   0.54526317
1995.801391601562   0.89966244
1995.804077148438   0.98760509
1995.806762695312   0.61932331
1995.809570312500  -0.00376996
1995.812255859375  -0.35694391
1995.815063476562  -0.63639188
1995.817749023438  -0.80676317
1995.820556640625  -0.73829108
1995.823242187500  -0.78156316
1995.826049804688  -1.05394828
1995.828735351562  -1.46504748
1995.831420898438  -1.99929297
1995.834228515625  -2.36324263
1995.836914062500  -2.48548102
1995.839721679688  -2.17427754
1995.842407226562  -1.75252032
1995.845214843750  -1.22477698
1995.847900390625  -1.07282174
1995.850708007812  -1.44451928
1995.853393554688  -1.44874465
1995.856079101562  -0.75747126
1995.858886718750  -0.18822932
1995.861572265625   0.12778507
1995.864379882812   0.24121328
1995.867065429688   0.80057073
1995.869873046875   1.05350721
1995.872558593750   0.89801216
1995.875366210938   0.69806415
1995.878051757812  -0.13264647
1995.880737304688  -0.92011505
1995.883544921875  -1.12760353
1995.886230468750  -1.13997090
1995.889038085938  -1.21247470
1995.891723632812  -1.14233029
1995.894531250000  -0.82877624
1995.897216796875   0.23773420
1995.900024414062   0.97073609
1995.902709960938   2.23327184
1995.905395507812   1.85865426
1995.908203125000   0.31771135
1995.910888671875  -1.71438885
1995.913696289062  -3.53694940
1995.916381835938  -5.07741022
1995.919189453125  -5.95054054
1995.921875000000  -6.11321640
1995.924682617188  -6.34261274
1995.927368164062  -6.13840342
1995.930053710938  -5.12188578
1995.932861328125  -4.11357832
1995.935546875000  -3.81991315
1995.938354492188  -4.34239578
1995.941040039062  -4.85221386
1995.943847656250  -5.46800756
1995.946533203125  -5.56362486
1995.949340820312  -5.54859877
1995.952026367188  -6.58092451
1995.954711914062  -8.11767673
1995.957519531250  -9.03769493
1995.960205078125  -9.40513134
1995.963012695312  -9.33404827
1995.965698242188  -8.97176361
1995.968505859375  -8.56302166
1995.971191406250  -8.40885925
1995.973999023438  -8.33306789
1995.976684570312  -8.53289223
1995.979370117188  -8.50533485
1995.982177734375  -8.70183754
1995.984863281250  -8.94712353
1995.987670898438  -9.28884983
1995.990356445312  -9.37989807
1995.993164062500  -9.72311020
1995.995849609375 -10.35952568
1995.998657226562 -10.62381554
1996.001342773438 -10.90404510
1996.004028320312 -10.98281956
1996.006835937500 -11.20393944
1996.009521484375 -11.94316483
1996.012329101562 -12.89411926
1996.015014648438 -11.66792774
1996.017700195312  -9.67868042
1996.020507812500  -8.25455570
1996.023193359375  -8.49069214
1996.025878906250  -8.51948452
1996.028686523438  -8.72259998
1996.031372070312  -8.98342800
1996.034179687500 -11.05828190
1996.036865234375 -12.22504330
1996.039550781250 -12.14809799
1996.042358398438 -11.68308640
1996.045043945312 -10.45794868
1996.047851562500  -9.19593716
1996.050537109375  -8.21176529
1996.053222656250  -7.68265009
1996.056030273438  -6.64390087
1996.058715820312  -6.03431368
1996.061401367188  -7.10808229
1996.064208984375  -8.77534389
1996.066894531250  -9.78875256
1996.069702148438  -7.73856592
1996.072387695312  -5.95412636
1996.075073242188  -3.95608115
1996.077880859375  -5.55262041
1996.080566406250  -3.75565434
1996.083251953125  -2.63067770
1996.086059570312  -2.29174376
1996.088745117188  -0.70371556
1996.091552734375  -2.08045769
1996.094238281250  -4.52996683
1996.096923828125  -7.78712034
1996.099731445312 -11.10813236
1996.102416992188 -12.90845680
1996.105224609375 -13.17017746
1996.107910156250 -12.24205303
1996.110595703125 -11.83744812
1996.113403320312 -13.24245358
1996.116088867188 -14.65198803
1996.118774414062 -13.95619678
1996.121582031250 -11.35619736
1996.124267578125  -7.93274307
1996.127075195312  -5.54873323
1996.129760742188  -3.67853880
1996.132446289062  -1.62362337
1996.135253906250  -2.54546022
1996.137939453125  -5.26214790
1996.140747070312  -7.16957903
1996.143432617188  -7.49020052
1996.146118164062  -7.31239462
1996.148925781250  -6.48189497
1996.151611328125  -4.81986141
1996.154296875000  -2.14599586
1996.157104492188   1.22455311
1996.159790039062   3.04646087
1996.162597656250   4.67745304
1996.165283203125   4.87046623
1996.167968750000   6.66971254
1996.170776367188   6.90761995
1996.173461914062   5.59504461
1996.176147460938   1.25976229
1996.178955078125  -1.92670393
1996.181640625000   0.10927477
1996.184448242188   4.27771854
1996.187133789062   6.22310019
1996.189819335938   5.12817335
1996.192626953125   5.17647934
1996.195312500000   4.80040264
1996.198120117188   5.86350298
1996.200805664062   7.81231213
1996.203491210938   6.77611303
1996.206298828125   4.74093390
1996.208984375000   2.69819379
1996.211669921875   1.18999207
1996.214477539062   3.41973925
1996.217163085938   2.37635517
1996.219970703125   4.15270615
1996.222656250000   5.64811134
1996.225341796875   6.89777613
1996.228149414062   6.85581255
1996.230834960938   7.52968693
1996.233642578125   8.54555035
1996.236328125000   8.25293636
1996.239013671875   7.87182570
1996.241821289062   7.19438457
1996.244506835938   6.39330530
1996.247192382812   5.51163530
1996.250000000000   4.38520193
1996.252685546875   3.86188269
1996.255493164062   3.18481970
1996.258178710938   2.48012877
1996.260864257812   1.82857096
1996.263671875000   1.35520947
1996.266357421875   1.02112556
1996.269042968750   0.88912618
1996.271850585938   1.03911901
1996.274536132812   1.94448555
1996.277343750000   3.43809557
1996.280029296875   4.86875534
1996.282714843750   5.62204361
1996.285522460938   5.71290445
1996.288208007812   5.47881365
1996.291015625000   5.28083706
1996.293701171875   5.16489506
1996.296386718750   5.08833933
1996.299194335938   5.08845901
1996.301879882812   5.15646505
1996.304565429688   5.12557602
1996.307373046875   4.92714739
1996.310058593750   4.52716160
1996.312866210938   4.22678518
1996.315551757812   3.96917248
1996.318237304688   3.81367373
1996.321044921875   3.51954770
1996.323730468750   3.31794357
1996.326538085938   3.14409590
1996.329223632812   3.03675103
1996.331909179688   2.89655972
1996.334716796875   2.86954665
1996.337402343750   2.68554950
1996.340087890625   2.48391247
1996.342895507812   2.16605616
1996.345581054688   2.09651232
1996.348388671875   1.94711077
1996.351074218750   1.95815670
1996.353759765625   1.83816993
1996.356567382812   1.82154679
1996.359252929688   1.58157468
1996.361938476562   1.29801595
1996.364746093750   0.93185198
1996.367431640625   0.94216633
1996.370239257812   0.85449952
1996.372924804688   0.91433614
1996.375610351562   0.92281288
1996.378417968750   0.94709843
1996.381103515625   0.85820633
1996.383911132812   0.75298578
1996.386596679688   0.84787709
1996.389282226562   0.90993083
1996.392089843750   1.03279078
1996.394775390625   1.11445546
1996.397460937500   1.04985034
1996.400268554688   1.02545452
1996.402954101562   0.99385697
1996.405761718750   0.79874867
1996.408447265625   0.74159497
1996.411132812500   0.78348786
1996.413940429688   0.72898912
1996.416625976562   0.63347888
1996.419433593750   0.52785569
1996.422119140625   0.45721424
1996.424804687500   0.36028314
1996.427612304688   0.22057222
1996.430297851562   0.19670996
1996.432983398438   0.19038893
1996.435791015625   0.29328337
1996.438476562500   0.25844821
1996.441284179688   0.25041506
