    time          teq
1990.319091796875   2.38958478
1990.321899414062   2.32766294
1990.324584960938   2.28932166
1990.327392578125   2.24335337
1990.330078125000   2.18789554
1990.332885742188   2.13133383
1990.335571289062   2.07496023
1990.338378906250   2.05911469
1990.341064453125   2.02122259
1990.343750000000   2.01023698
1990.346557617188   1.97996771
1990.349243164062   1.91802692
1990.352050781250   1.84364665
1990.354736328125   1.76203680
1990.357543945312   1.72158957
1990.360229492188   1.71252692
1990.363037109375   1.68306696
1990.365722656250   1.60270226
1990.368408203125   1.54530859
1990.371215820312   1.55579710
1990.373901367188   1.57111645
1990.376708984375   1.59692776
1990.379394531250   1.56920516
1990.382202148438   1.58813047
1990.384887695312   1.59123755
1990.387695312500   1.62404370
1990.390380859375   1.62649894
1990.393066406250   1.65740204
1990.395874023438   1.69195116
1990.398559570312   1.71654212
1990.401367187500   1.70314884
1990.404052734375   1.73688126
1990.406860351562   1.71724582
1990.409545898438   1.72479570
1990.412353515625   1.74018490
1990.415039062500   1.70369458
1990.417724609375   1.68886530
1990.420532226562   1.71263552
1990.423217773438   1.74376535
1990.426025390625   1.75666189
1990.428710937500   1.73722303
1990.431518554688   1.71784389
1990.434204101562   1.68390250
1990.437011718750   1.65608466
1990.439697265625   1.59092593
1990.442382812500   1.51225209
1990.445190429688   1.44682753
1990.447875976562   1.41784358
1990.450683593750   1.40879798
1990.453369140625   1.38524735
1990.456176757812   1.35403264
1990.458862304688   1.31221271
1990.461669921875   1.31133699
1990.464355468750   1.31622398
1990.467041015625   1.34346294
1990.469848632812   1.30968785
1990.472534179688   1.32992804
1990.475341796875   1.33941901
1990.478027343750   1.40321088
1990.480834960938   1.45902419
1990.483520507812   1.50687563
1990.486328125000   1.53346789
1990.489013671875   1.53425765
1990.491699218750   1.54491603
1990.494506835938   1.52455175
1990.497192382812   1.54806876
1990.500000000000   1.53834379
1990.502685546875   1.52475905
1990.505493164062   1.49457073
1990.508178710938   1.50505507
1990.510986328125   1.52715909
1990.513671875000   1.49897814
1990.516357421875   1.42568266
1990.519165039062   1.37835634
1990.521850585938   1.37128305
1990.524658203125   1.37164938
1990.527343750000   1.42252958
1990.530151367188   1.43121767
1990.532836914062   1.40719843
1990.535644531250   1.34376764
1990.538330078125   1.18779171
1990.541015625000   0.99019957
1990.543823242188   0.86839914
1990.546508789062   0.78412825
1990.549316406250   0.63684070
1990.552001953125   0.51263428
1990.554809570312   0.46261835
1990.557495117188   0.46046937
1990.560302734375   0.44028780
1990.562988281250   0.41444278
1990.565673828125   0.36127084
1990.568481445312   0.31387272
1990.571166992188   0.22237851
1990.573974609375   0.13018893
1990.576660156250  -0.01026185
1990.579467773438  -0.11359377
1990.582153320312  -0.23933487
1990.584960937500  -0.36269411
1990.587646484375  -0.52320981
1990.590332031250  -0.57231331
1990.593139648438  -0.48335361
1990.595825195312  -0.31523362
1990.598632812500  -0.12053715
1990.601318359375   0.00627335
1990.604125976562   0.05436580
1990.606811523438   0.02682891
1990.609619140625  -0.02822668
1990.612304687500  -0.12017752
1990.614990234375  -0.21455649
1990.617797851562  -0.25314426
1990.620483398438  -0.22682968
1990.623291015625  -0.22429882
1990.625976562500  -0.24458393
1990.628784179688  -0.22391450
1990.631469726562  -0.21767138
1990.634277343750  -0.21603523
1990.636962890625  -0.24348947
1990.639648437500  -0.27732140
1990.642456054688  -0.24883397
1990.645141601562  -0.21395373
1990.647949218750  -0.12001012
1990.650634765625  -0.04874282
1990.653442382812   0.04733363
1990.656127929688   0.18032314
1990.658935546875   0.26166749
1990.661621093750   0.36033452
1990.664306640625   0.34358048
1990.667114257812   0.24140090
1990.669799804688   0.12179177
1990.672607421875   0.03346612
1990.675292968750   0.04096315
1990.678100585938   0.06966610
1990.680786132812   0.13066712
1990.683593750000   0.14699425
1990.686279296875   0.16049011
1990.688964843750   0.13528271
1990.691772460938   0.10025143
1990.694458007812   0.02069693
1990.697265625000   0.03146432
1990.699951171875   0.06411260
1990.702758789062   0.03561317
1990.705444335938  -0.00980751
1990.708251953125   0.02125513
1990.710937500000   0.02612340
1990.713623046875  -0.06255912
1990.716430664062  -0.17535676
1990.719116210938  -0.21080366
1990.721923828125  -0.28902626
1990.724609375000  -0.43266368
1990.727416992188  -0.51970470
1990.730102539062  -0.60028708
1990.732910156250  -0.65723342
1990.735595703125  -0.70368981
1990.738281250000  -0.73305678
1990.741088867188  -0.71268171
1990.743774414062  -0.58989042
1990.746582031250  -0.47125548
1990.749267578125  -0.37883654
1990.752075195312  -0.30604514
1990.754760742188  -0.21211164
1990.757446289062  -0.11763439
1990.760253906250  -0.01735467
1990.762939453125   0.04031176
1990.765747070312  -0.04569255
